HHW	17m 66ch	18m 21ch	MD420
HIL	0m 00ch	0m 46ch	SC041
HIM	9m 72ch	27m 48ch	LN784
HIW	0m 00ch	0m 79ch	GW470
HJB	0m 00ch	3m 24ch	LN766
HJM	19m 44ch	20m 47ch	LN696
HJS	0m 00ch	5m 62ch	LN916
HJW	14m 09ch	14m 39ch	SW235
HLF1	0m 00ch	0m 44ch	LN776
HLF2	150m 47ch	150m 64ch	LN776
HLK	0m 16ch	0m 48ch	LN676
HLK	0m 00ch	0m 16ch	LN674
HLL	11m 04ch	16m 38ch	GW180
HLL	14m 56ch	16m 27ch	GW180
HMN1	-0m 01ch	1m 44ch	SC023
HMN2	0m 00ch	0m 07ch	SC055
HMN2	0m 07ch	6m 61ch	SC023
HNB	0m 00ch	1m 53ch	LN662
HNC	3m 34ch	4m 00ch	LN906
HNL1	2m 11ch	41m 66ch	GW730
HNL2	149m 44ch	149m 55ch	GW750
HNO	0m 29ch	0m 36ch	NW3035
HNR	56m 65ch	84m 57ch	MD105
HNS	0m 00ch	4m 70ch	NW5011
HOB2	0m 00ch	0m 53ch	NW1023
HOS	0m 00ch	1m 54ch	LN618
HOU	7m 15ch	14m 38ch	SW230
HPC	171m 70ch	173m 22ch	LN848
HPW	0m 03ch	0m 14ch	LN165
HPW	0m 14ch	0m 25ch	EA1370
HSA	8m 63ch	18m 12ch	MD415
HSC	174m 10ch	175m 33ch	LN904
HSE	0m 00ch	0m 14ch	SO130
HSJ	132m 47ch	133m 32ch	MD435
HST	0m 04ch	2m 35ch	SC131
HTG	27m 19ch	38m 52ch	SO320
HUE	0m 00ch	0m 55ch	LN900
HUL1	0m 00ch	30m 40ch	LN898
HUL2	30m 40ch	31m 12ch	LN898
HUL3	0m 00ch	10m 63ch	LN898
HUL4	10m 63ch	18m 25ch	LN898
HUL4	18m 20ch	20m 50ch	LN836
HUN	0m 00ch	0m 36ch	SC079
HWG	0m 00ch	0m 29ch	NW3035
HXS1	0m 02ch	6m 11ch	NW8001
HXS2	34m 75ch	37m 12ch	NW8001
HXS3	1m 41ch	18m 35ch	NW8001
HYD	0m 00ch	0m 16ch	SC136
IGE	0m 00ch	0m 33ch	SC176
ILK1	202m 03ch	208m 02ch	LN924
ILK2	208m 02ch	211m 20ch	LN924
IMG	0m 00ch	0m 79ch	NW1025
ISC	0m 00ch	1m 70ch	LN704
ISL1	0.000km	0.705km	SO420
JAT	0m 00ch	0m 39ch	SW102
JAW1	0m 09ch	3m 56ch	LN670
JCA	0m 00ch	0m 49ch	LN844
JER	1m 24ch	2m 24ch	GW894
JRT1	0m 03ch	0m 18ch	LN3210
JRT2	2m 00ch	2m 38ch	LN3210
KBF	11m 06ch	15m 00ch	LN650
KBS1	8m 28ch	20m 00ch	NW4007
KCH1	43m 52ch	48m 73ch	SC089
KCH2	0m 00ch	3m 43ch	SC089
KCS1	0m 00ch	8m 32ch	NW1005
KCS2	157m 55ch	157m 61ch	NW1005
KEB	0m 00ch	0m 13ch	LN620
